STEP,POPULATION,HEALTHY,VACCINATED HEALTHY,UNVACCINATED HEALTHY,INFECTED,VACCINATED INFECTED,UNVACCINATED INFECTED,DEATHS FROM INFECTION,DEATHS VACCINATED,DEATHS UNVACCINATED,DEATHS FROM OLD AGE
340,5073,4817,2494,2323,256,22,234,9872,1199,8673,0
341,5065,4806,2488,2318,259,28,231,9880,1199,8681,0
342,5048,4792,2486,2306,256,30,226,9897,1199,8698,0
343,5034,4779,2485,2294,255,29,226,9911,1201,8710,0
344,5015,4774,2485,2289,241,28,213,9930,1202,8728,0
345,5004,4754,2482,2272,250,31,219,9941,1202,8739,0
346,4993,4744,2481,2263,249,29,220,9952,1205,8747,0
347,4972,4727,2480,2247,245,29,216,9973,1206,8767,0
348,4958,4713,2478,2235,245,29,216,9987,1208,8779,0
349,4942,4697,2478,2219,245,29,216,10003,1208,8795,0
350,4933,4683,2478,2205,250,28,222,10012,1209,8803,0
351,4911,4671,2478,2193,240,26,214,10034,1211,8823,0
352,4902,4652,2479,2173,250,24,226,10043,1212,8831,0
353,4890,4638,2478,2160,252,23,229,10055,1214,8841,0
354,4870,4633,2478,2155,237,18,219,10075,1219,8856,0
355,4854,4626,2477,2149,228,17,211,10091,1221,8870,0
356,4846,4618,2477,2141,228,17,211,10099,1221,8878,0
357,4829,4601,2476,2125,228,16,212,10116,1223,8893,0
358,4816,4595,2474,2121,221,17,204,10129,1224,8905,0
359,4798,4590,2473,2117,208,16,192,10147,1226,8921,0
360,4786,4584,2470,2114,202,18,184,10159,1227,8932,0
361,4774,4575,2470,2105,199,16,183,10171,1229,8942,0
362,4764,4560,2469,2091,204,17,187,10181,1229,8952,0
363,4752,4551,2469,2082,201,16,185,10193,1230,8963,0
364,4738,4548,2470,2078,190,14,176,10207,1231,8976,0
365,4721,4543,2469,2074,178,13,165,10224,1233,8991,0
366,4716,4534,2469,2065,182,13,169,10229,1233,8996,0
367,4705,4531,2470,2061,174,12,162,10240,1233,9007,0
368,4693,4526,2469,2057,167,13,154,10252,1233,9019,0
